age_group,alpha,beta,delta,gamma,omicron,omicron_sub,n
0-14,193,151,282,0,1109,124,1859
15-24,362,444,475,0,1687,210,3178
25-64,1876,2254,2368,3,8881,914,16296
65+,322,369,350,0,1420,191,2652
