age_group,alpha,beta,delta,gamma,omicron,omicron_sub,n
0-14,141,84,157,0,153,125,660
15-24,265,273,270,0,276,214,1298
25-64,1361,1399,1390,3,1353,924,6430
65+,220,222,178,0,207,192,1019
