age_group,alpha,beta,delta,gamma,omicron,omicron_sub,n
0-14,17,10,19,0,18,16,80
15-24,33,29,24,0,33,32,151
25-64,173,177,175,3,176,162,866
65+,27,32,32,0,22,28,141
