age_group,alpha,beta,delta,gamma,omicron,omicron_sub,n
0-14,193,151,282,0,1132,125,1883
15-24,362,444,475,0,1741,214,3236
25-64,1876,2254,2368,3,9119,928,16548
65+,322,369,350,0,1473,192,2706
