age_group,alpha,beta,delta,gamma,omicron,omicron_sub,n
0-14,30,18,27,0,33,34,142
15-24,68,70,67,0,82,64,351
25-64,343,360,345,3,325,295,1671
65+,57,49,59,0,59,69,293
