age_group,alpha,beta,delta,gamma,omicron,omicron_sub,n
0-14,4,8,11,0,9,4,36
15-24,16,17,10,0,12,10,65
25-64,74,62,64,3,67,65,335
65+,6,11,15,0,12,19,63
