age_group,alpha,beta,delta,gamma,omicron,omicron_sub,n
0-14,60,53,88,0,78,76,355
15-24,134,148,150,0,137,115,684
25-64,693,685,659,3,670,582,3292
65+,106,102,102,0,114,121,545
