age_group,alpha,beta,delta,gamma,omicron,omicron_sub,n
0-14,98,63,119,0,135,107,522
15-24,193,214,186,0,190,186,969
25-64,1034,1040,1039,3,992,797,4905
65+,166,164,154,0,176,167,827
