pangolin_lineage,variant
XBB.1.9.4,Omicron Sub
XBB.2.3,Omicron Sub
XBB.2.8,Omicron Sub
XBB.9,Omicron Sub
XBC,Omicron
XBC.1,Omicron
XBC.1.3,Omicron
XBC.1.4,Omicron
XBC.1.5,Omicron
XBC.2,Omicron
XBJ,Omicron
XBJ.1,Omicron
XBJ.1.1,Omicron
XBJ.4,Omicron
